,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,intermediate,329.528,4.2882,2,2,5.148741651
1,CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,inactive,315.501,3.8981,2,2,4.301029996
2,CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,active,412.306,5.70542,0,3,6.623423043
3,CHEMBL113637,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,active,319.383,4.6345,0,3,7.244125144
4,CHEMBL112021,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,active,321.811,4.5878,0,3,7.26760624
5,CHEMBL324070,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,intermediate,427.529,5.02092,0,5,5.26760624
6,CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,active,319.383,4.6345,0,3,7.387216143
7,CHEMBL111868,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,384.252,4.9141,0,3,7.105130343
8,CHEMBL111888,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,398.279,5.397,0,3,7.28567024
9,CHEMBL112074,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,active,301.393,4.4954,0,3,6.688246139
10,CHEMBL324326,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,active,312.376,3.80608,0,4,7.301029996
11,CHEMBL37321,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,intermediate,302.418,3.4587,0,3,5.180456064
12,CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,inactive,210.28,2.8531,1,1,4.292429824
13,CHEMBL41066,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,288.391,3.1165,1,3,5.494850022
14,CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,inactive,236.274,2.6891,0,3,3.602059991
15,CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,inactive,236.274,2.6891,0,3,3.987162775
16,CHEMBL1630273,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,intermediate,304.43,2.8516,2,3,5.167491087
17,CHEMBL1630261,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,288.431,3.8792,1,2,7.301029996
18,CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,active,224.263,2.6222,1,2,6.769551079
19,CHEMBL168636,O=C1/C(=C/c2cccnc2)CCc2ccccc21,intermediate,235.286,3.2941,0,2,5.036212173
20,CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,intermediate,235.286,3.2941,0,2,5.337242168
21,CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,288.431,3.8808,1,2,7.30980392
22,CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,inactive,226.344,4.1915,0,1,3.602059991
23,CHEMBL38877,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,260.337,2.2884,0,3,4.508638306
24,CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,inactive,254.289,1.9553,1,4,3.602059991
25,CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,274.364,2.6785,0,3,4.397940009
26,CHEMBL39513,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,288.391,3.0686,0,3,4.677780705
27,CHEMBL2112738,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,inactive,346.467,3.4224,1,4,4.958607315
28,CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,218.256,1.166,1,3,5
29,CHEMBL39782,CCC1(c2ccncc2)CCC(=O)N(C)C1=O,inactive,232.283,1.5082,0,3,4.522878745
30,CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,active,221.303,3.525,0,1,6.431798276
31,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,intermediate,232.283,1.3532,2,3,5.096910013
32,CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,active,224.263,2.6222,1,2,6.585026652
33,CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,active,210.28,2.8531,1,1,6.22184875
34,CHEMBL2112739,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,330.468,4.45,0,3,6
35,CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1,inactive,221.303,3.525,0,1,4.886056648
36,CHEMBL1630274,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43,2.8516,2,3,7.508638306
37,CHEMBL1629804,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,272.432,4.9084,0,1,7.22184875
38,CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,330.472,4.2389,0,3,6.096910013
39,CHEMBL38550,CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,intermediate,344.499,4.629,0,3,5.522878745
40,CHEMBL39152,CCCCCCC1(c2ccncc2)CCC(=O)NC1=O,intermediate,274.364,2.7264,1,3,5.443697499
